PERDV_CVPAG_SYS,Delivery - CVP Allocation (NOD Ag),
PERDV_CVPMI_SYS,Delivery - CVP Allocation (NOD M&I),
PERDV_CVPRF_SYS,Delivery - CVP Allocation (NOD RF),
PERDV_CVPSC_SYS,Delivery - CVP Allocation (NOD SC),
PERDV_CVPAG_S,Delivery - CVP Allocation (SOD Ag),
PERDV_CVPEX_S,Delivery - CVP Allocation (SOD EX),
PERDV_CVPMI_S,Delivery - CVP Allocation (SOD M&I),
PERDV_CVPRF_S,Delivery - CVP Allocation (SOD RF),
DEL_CVP_P_AMER,Delivery - CVP Delivery American,
DEL_CVP_TOTAL_N,Delivery - CVP Delivery NOD,
DEL_CVP_PAG_N,Delivery - CVP Delivery PAG N,
DEL_CVP_PAG_S,Delivery - CVP Delivery PAG S,
DEL_CVP_PEX_S,Delivery - CVP Delivery PEX S,
DEL_CVP_PMI_N,Delivery - CVP Delivery PMI N,
DEL_CVP_PMI_W_AMER,Delivery - CVP Delivery PMI N with Amer,
DEL_CVP_PMI_S,Delivery - CVP Delivery PMI S,
DEL_CVP_PRF_N,Delivery - CVP Delivery PRF N,
DEL_CVP_PRF_S,Delivery - CVP Delivery PRF S,
DEL_CVP_PSC_N,Delivery - CVP Delivery PSC N,
cvptotaldel,Delivery - CVP Delivery SOD,
DEL_CVP_TOTAL_S,Delivery - CVP Delivery SOD no CVC,
SHORT_CVP_TOT_N,Delivery - SHORT_CVP_TOT_N,
SHORT_CVP_TOT_S,Delivery - SHORT_CVP_TOT_S,
co_available_dv,Delivery - SWP CO available,
co_est_dv,Delivery - SWP CO est,
co_final_dv,Delivery - SWP CO final,
deltar_a_dv,Delivery - SWP Del Target TA,
deltardv_total,Delivery - SWP Del Target TA + CO,
swp_perdeldv,Delivery - SWP PERCENT DELIVERY,
vardeltardv,Delivery - SWP Var Demand Deltar,
SWP_CO_FEATH,Delivery - SWP_CO_FEATH,
SWP_CO_NBAY,Delivery - SWP_CO_NBAY,
swp_CO_total,Delivery - SWP_CO_TOTAL,
SWP_IN_FEATH,Delivery - SWP_IN_FEATH,
SWP_IN_NBAY,Delivery - SWP_IN_NBAY,
swp_IN_total,Delivery - SWP_IN_TOTAL,
SWP_LOSS,Delivery - SWP_LOSS,
SWP_TA_FEATH,Delivery - SWP_TA_FEATH,
SWP_TA_NBAY,Delivery - SWP_TA_NBAY,
swp_TA_total,Delivery - SWP_TA_TOTAL,
unused_totaldv,Delivery - SWP_UNUSED_TA_TOTAL,
C_CAA003_CVP,Delta - Banks CVP Exports,
C_CAA003_CVC,Delta - Banks Export Cross Valley Pumping,
D_OMR027_CAA000,Delta - Banks Exports,
C_CAA003_SWP,Delta - Banks SWP Exports,
D408,Delta - CCWD,
DELTAINFLOWFORNDOI,Delta - Delta Inflow (NDOI),
NDOI,Delta - Delta Outflow (NDOI),
D_SAC030_MOK014,Delta - DXC Flow,
NDOI_ADD,Delta - Excess Outflow (NDOI),
NDOI_ADD_ANN,Delta - Excess Outflow ANN (NDOI),
NDOI_ADD_CVP,Delta - Excess Outflow CVP (NDOI),
NDOI_ADD_SWP,Delta - Excess Outflow SWP (NDOI),
C_SAC029B,Delta - Flow at Georgiana Slough,
C_SAC017,Delta - Flow at Rio Vista,
C_SAC030,Delta - Flow below DXC,
D_OMR028_DMC000,Delta - Jones Exports,
MRDO_FINALDV,Delta - Modeled Required DO,
C_CSL004B,Delta - North Bay Aqueduct,
C_OMR014,Delta - Old and Middle River flow,
QWestFlow,Delta - QWestFlow,
NDOI_MIN,Delta - Required Delta Outflow,
C_SAC048,Delta - Sac Flow at Freeport,
EXPORTACTUALIF,Delta - Total NDD Exports,
EXPORTACTUALTD,Delta - Total TD Exports,
C_CAA003_CVC,Other - Banks Export Cross Valley Pumping,
C_CAA003_CVPDED,Other - Banks Export CVP Dedicated,
C_CAA003_EXP2,Other - Banks Export Fed Share,
C_CAA003_CVPWHL,Other - Banks Export JPOD,
C_CAA003_EXP1,Other - Banks Export State Share,
C_CAA003_WTS,Other - Banks Export WTS,
C_CAA003_IF,Other - Banks PP North Delta,
C_CAA003_SWP_TD,Other - Banks PP SWP Through Delta,
C_CAA003_TD,Other - Banks PP Through Delta,
DXC,Other - DCC gate days open,
DI_CVP_sysdv,Other - DI CVP,
C_DMC116,Other - DMC inflow to MendotaPool,
EXPRATIO_,Other - EI RATIO,
D_SAC207_GCC007,Other - Hamilton City (diversion),
C_DMC000_EXP1,Other - Jones Export Fed Share,
C_DMC000_EXP2,Other - Jones Export State Share,
C_DMC000_WTS,Other - Jones Export WTS,
C_DMC000_IF,Other - Jones PP North Delta,
C_DMC000_TD,Other - Jones PP Through Delta,
net_DICU,Other - net DICU,
D_SAC240_TCC001,Other - Red Bluff Diversion Dam (diversion),
maxexp_rpa_SWPdv,Other - RPA Constraint Banks,
maxexp_rpa_CVPdv,Other - RPA Constraint Jones,
SHORT_SWP_TOTA,Other - SHORT_SWP_TOTAL,
PERDV_SWP_FSC,Other - SWP Allocation (FRSA),
PERDV_SWP_MWD1,Other - SWP Allocation (M&I),
DEL_SWP_PIN,Other - SWP Delivery Int,
D_LWSTN_CCT011,Other - Trinity Export,
D_LWSTN_ADD,Other - Trinity Export Excess,
TRIN_IMPDV,Other - Trinity Export Ops limit,
D_LWSTN_IMPORT,Other - Trinity Export Ops x,
WSI_CVP_sysdv,Other - WSI CVP,
BD_EC_MONTH,Salinity - BD EC,
CI_EC_MONTH,Salinity - CI EC,
CO_EC_MONTH,Salinity - CO EC,
EM_EC_MONTH,Salinity - EM EC,
JP_EC_MONTH,Salinity - JP EC,
LV_EC_MONTH,Salinity - LV EC,
MR_EC_MONTH,Salinity - MR EC,
RS_EC_MONTH,Salinity - RS EC,
