,S_OROVL,S_FOLSM,icy,icm,iwy,iwm,cfs_taf
1921-10-31 23:59:59,2176.3003426990895,519.764776349748,1921,10,1922,1,0.061487603
1921-11-30 23:59:59,2104.373940650806,444.8436921811484,1921,11,1922,2,0.059504132
1921-12-31 23:59:59,2151.72865854521,455.4686831753222,1921,12,1922,3,0.061487603
1922-01-31 23:59:59,2147.5346825248666,471.08316284965855,1922,1,1922,4,0.061487603
1922-02-28 23:59:59,2415.976295501042,566.9999999999999,1922,2,1922,5,0.05553719
1922-03-31 23:59:59,2682.304376491705,750.338466511142,1922,3,1922,6,0.061487603
1922-04-30 23:59:59,3345.573894029082,899.9999999999998,1922,4,1922,7,0.059504132
1922-05-31 23:59:59,3538.0000000000005,966.9999999999997,1922,5,1922,8,0.061487603
1922-06-30 23:59:59,3537.9999999999995,966.9999999999998,1922,6,1922,9,0.059504132
1922-07-31 23:59:59,3027.0925332797838,942.0000000000001,1922,7,1922,10,0.061487603
1922-08-31 23:59:59,2523.9560806212685,792.0000000000003,1922,8,1922,11,0.061487603
1922-09-30 23:59:59,2374.2378294004775,711.4785645308978,1922,9,1922,12,0.059504132
1922-10-31 23:59:59,2190.584749675704,678.6437612688364,1922,10,1923,1,0.061487603
1922-11-30 23:59:59,2169.134927054097,567.0000000000003,1922,11,1923,2,0.059504132
1922-12-31 23:59:59,2382.18967996243,566.9999999999995,1922,12,1923,3,0.061487603
1923-01-31 23:59:59,2494.390999894054,567.0000000000003,1923,1,1923,4,0.061487603
1923-02-28 23:59:59,2552.0012158002583,566.9999999999999,1923,2,1923,5,0.05553719
1923-03-31 23:59:59,2714.1623103148795,627.8578168532218,1923,3,1923,6,0.061487603
1923-04-30 23:59:59,3160.7428780939113,900.0,1923,4,1923,7,0.059504132
1923-05-31 23:59:59,3205.3996744525457,967.0,1923,5,1923,8,0.061487603
1923-06-30 23:59:59,3354.167745316042,967.0000000000002,1923,6,1923,9,0.059504132
1923-07-31 23:59:59,2766.6134497215403,743.3635889337357,1923,7,1923,10,0.061487603
1923-08-31 23:59:59,2254.4703228865515,710.7034534763309,1923,8,1923,11,0.061487603
1923-09-30 23:59:59,2158.3814324894665,604.8574800745341,1923,9,1923,12,0.059504132
1923-10-31 23:59:59,2035.4391003597832,577.1069790496013,1923,10,1924,1,0.061487603
1923-11-30 23:59:59,1944.9143735152998,506.86577750147023,1923,11,1924,2,0.059504132
1923-12-31 23:59:59,1853.6546921841516,459.36459058738717,1923,12,1924,3,0.061487603
1924-01-31 23:59:59,1780.9476592332064,420.35175011319086,1924,1,1924,4,0.061487603
1924-02-29 23:59:59,1921.6040282926863,432.61131216536376,1924,2,1924,5,0.057520661
1924-03-31 23:59:59,1887.7965876891694,412.763279857773,1924,3,1924,6,0.061487603
1924-04-30 23:59:59,1809.5526094415998,405.1911539708487,1924,4,1924,7,0.059504132
1924-05-31 23:59:59,1619.6186483184485,348.54222339703756,1924,5,1924,8,0.061487603
